时间,小时,开,高,低,收,不知道
2014.04.25,11:25,0,0.002,0,1,波动
2014.04.25,11:30,0,0.002,0,1,162
2014.04.25,11:35,0,0.002,0,1,162
2014.04.25,11:40,0,0.002,0,1,162
2014.04.25,11:45,0,0.002,0,1,162
2014.04.25,11:50,0,0.002,0,1,162
2014.04.25,11:55,0,0.003,0,1,162
2014.04.25,12:00,0,0.000,0,1,非波动
2014.04.25,12:05,0,0.000,0,1,162
2014.04.25,12:10,0,0.000,0,1,162
2014.04.25,12:15,0,0.000,0,1,162
2014.04.25,12:20,0,0.000,0,1,162
2014.04.25,12:25,0,0.000,0,1,162
2014.04.30,22:40,0,0.000,0,1,162
2014.04.30,22:45,0,0.000,0,1,162
2014.05.06,09:05,0,0.000,0,1,162
2014.05.06,09:10,0,0.000,0,1,162
2014.05.06,09:15,0,0.000,0,1,162
2014.05.06,09:20,0,0.002,0,1,波动
2014.05.06,09:25,0,0.002,0,1,162
2014.05.06,09:30,0,0.002,0,1,162
2014.05.06,09:35,0,0.002,0,1,162
2014.05.06,09:40,0,0.002,0,1,162
2014.05.06,09:45,0,0.002,0,1,162
2014.05.06,09:50,0,0.003,0,1,162
2014.05.06,09:55,0,0.000,0,1,非波动
2014.05.06,10:00,0,0.000,0,1,162
2014.05.06,10:05,0,0.000,0,1,162
2014.05.06,10:10,0,0.000,0,1,162
2014.05.06,10:15,0,0.000,0,1,162
2014.05.06,10:20,0,0.000,0,1,162
2014.05.06,10:25,0,0.000,0,1,162
